Etapa,Objetivo,Input,Ferramenta,Comando (se aplicável),Artefato Gerado
3. Relatórios,Implementar estatísticas e indicadores.,CRUD Tarefas (B5),Fastify + SQL,Implementação,Relatórios (B7)
3. Streaming,Implementar comunicação em tempo real.,Documento de Streaming (A5); Backend Base (B2),Fastify + SSE,Implementação,Streaming (B8)
3. Observabilidade,Instrumentar OpenTelemetry e Jaeger.,Backend Base (B2),OpenTelemetry,npm install @opentelemetry/sdk-node,Observabilidade (B9)
3. Segurança,"Adicionar Helmet, CORS, validações e Rate Limit.",Backend Base (B2); Módulo de Autenticação (B3),Fastify Plugins,Implementação,Camada de Segurança (B10)
3. Testes Unitários,Cobrir regras de negócio.,Backend Base (B2); CRUD Usuários (B4); CRUD Tarefas (B5),Jest,npm run test,Testes Unitários (T1)
3. Testes de Integração,Validar integração entre API e banco.,Backend Base (B2); Banco Configurado (B1),Jest + Supertest,npm run test:integration,Testes de Integração (T2)
4. Setup Frontend,Inicializar projeto Vue.,Especificação OpenAPI (A6),Vue + Vite,npm create vue@latest,Frontend Base (F1)
4. Geração do Client HTTP,Gerar cliente tipado.,Especificação OpenAPI (A6),Orval,npx orval,Cliente HTTP (F2)
4. Arquitetura Frontend,"Configurar Router, Pinia e estrutura.",Frontend Base (F1),Vue Router + Pinia,npm install...,Arquitetura Frontend (F3)
4. Desenvolvimento da UI,Construir componentes reutilizáveis.,Documento de Requisitos (A1); Arquitetura Frontend (F3),Vue + Tailwind + ShadCN-Vue,Implementação,Interface (F4)
4. Integração Frontend-Backend,Consumir API tipada.,Cliente HTTP (F2); Backend Base (B2); Interface (F4),Vue + TanStack Query,Implementação,Frontend Integrado (F5)
4. Testes Frontend,Validar componentes.,Frontend Integrado (F5),Vitest,npm run test,Testes Frontend (T3)
5. Deploy Banco,Provisionar PostgreSQL serverless.,Banco Configurado (B1),Neon ou Supabase,Interface Web,Banco em Produção (D1)
5. Deploy Backend,Publicar API na AWS Lambda.,Backend Base (B2); Infraestrutura Serverless (I1),Serverless Framework,serverless deploy,Backend Publicado (D2)
5. Deploy Frontend,Publicar aplicação Vue.,Frontend Integrado (F5),Vercel ou Netlify,npm run build,Frontend Publicado (D3)
5. Validação Pós-Deploy,Executar smoke tests e validar observabilidade.,Backend Publicado (D2); Frontend Publicado (D3),Postman + Jaeger,Testes manuais,Validação Final (D4)
5. Documentação Técnica,Documentar arquitetura e decisões.,Documento de Arquitetura (A3); Infraestrutura Serverless (I1); Backend Publicado (D2),LLM + Mermaid,Prompt (C8),Documentação Técnica (DOC1) - ARCHITECTURE.md
5. README Final,"Consolidar instruções de instalação, execução e uso.",Todos os artefatos anteriores,LLM,Prompt (C9),README Final (DOC2) - README.md
